latitude	longitude	altitude
46.679807305555556	-114.03986766666667	1098.806
46.67994894444444	-114.03986694444444	1099.027
46.68014125	-114.03986566666667	1099.577
46.680312555555552	-114.03985494444444	1099.333
46.680339638888888	-114.03980388888888	1099.018
46.680124972222217	-114.03961605555556	1099.382
46.67976183333333	-114.03986588888888	1098.782
46.680268833333329	-114.039737	1099.131
46.679960277777774	-114.03947991666666	1099.28
46.679831861111111	-114.03935986111111	1099.177
46.679844305555555	-114.03930922222222	1099.175
46.679929138888888	-114.03930333333334	1099.12
46.680100638888888	-114.03930252777778	1099.113
46.680288583333329	-114.03930233333332	1098.92
46.680486416666668	-114.0393025	1098.611
46.680672972222219	-114.03930297222222	1098.279
46.680874888888887	-114.03930280555555	1098.06
46.681074444444441	-114.03930291666667	1098.232
46.681231388888889	-114.0392938611111	1098.544
46.68125194444444	-114.03927080555556	1098.48
46.681178888888887	-114.03924188888888	1098.493
46.68102975	-114.03918958333333	1098.534
46.680839444444445	-114.03912455555556	1098.664
46.680647138888887	-114.03905769444444	1098.82
46.680465055555551	-114.03899394444444	1098.857
46.680276861111111	-114.03892802777777	1098.78
46.680089611111107	-114.03886225	1098.528
46.679896638888884	-114.03879363888889	1098.341
46.679825027777774	-114.03875775	1098.177
46.679851305555552	-114.03874161111111	1098.061
46.679954249999994	-114.03873944444445	1097.796
46.680160055555554	-114.03873886111111	1097.616
46.680328611111108	-114.03873833333333	1097.394
46.680523305555553	-114.03873805555556	1097.556
46.680724027777778	-114.03873847222222	1098.355
46.680916222222223	-114.03873911111111	1099.263
46.681109694444444	-114.03874	1100.314
46.681303416666665	-114.03873980555555	1100.74
46.68149286111111	-114.03873983333334	1100.6
46.681691888888885	-114.03873955555555	1100.408
46.681880694444445	-114.03873866666666	1100.082
46.682070416666662	-114.03873786111112	1099.522
46.682458	-114.0387385	1099.023
46.682655249999996	-114.03873805555556	1098.653
46.682849777777776	-114.03873880555555	1098.042
46.683036805555552	-114.03873875	1097.641
46.682265333333334	-114.03873838888889	1099.079
46.683231472222218	-114.03873875	1097.431
46.68343047222222	-114.03873786111112	1097.395
46.683616916666665	-114.03872719444445	1097.362
46.683813833333332	-114.03870877777777	1097.183
46.684011666666663	-114.03869038888888	1096.484
46.684202027777772	-114.03867897222221	1095.1
46.68454358333333	-114.03873741666666	1094.766
46.684718249999996	-114.03873802777778	1095.877
46.6849115	-114.03873794444445	1096.749
46.685104222222222	-114.03873916666666	1097.459
46.685292749999995	-114.03873847222222	1097.893
46.6854905	-114.03873836111111	1098.182
46.685687138888888	-114.03873841666666	1098.247
46.685879333333332	-114.03873833333333	1098.571
46.68607155555555	-114.03873825	1098.542
46.686261805555553	-114.03873838888889	1098.761
46.686459638888884	-114.03873875	1098.246
46.68665136111111	-114.03873861111111	1097.04
46.687037805555555	-114.03873875	1095.618
46.686857361111109	-114.03873863888889	1096.124
46.687432249999993	-114.03873902777778	1094.598
46.687227277777772	-114.0387385	1095.099
46.687624666666665	-114.03873994444444	1094.246
46.687813388888884	-114.03873977777778	1094.1
46.687941249999994	-114.03878238888889	1094.13
46.687970416666666	-114.03895186111112	1094.123
46.687965777777777	-114.03918261111112	1094.362
46.687747833333333	-114.03930211111111	1094.657
46.687561472222221	-114.03930338888888	1094.742
46.687365416666665	-114.03930291666667	1094.62
46.687890277777775	-114.03929258333334	1094.431
46.68717175	-114.03930275	1094.655
46.686791777777778	-114.03930169444445	1095.015
46.686592749999996	-114.03930097222222	1095.03
46.686980527777777	-114.03930275	1094.757
46.686400416666665	-114.03930113888889	1094.923
46.686206722222217	-114.03930038888889	1094.712
46.68600575	-114.03930097222222	1094.311
46.68582269444444	-114.03930438888889	1094.265
46.685766666666666	-114.03933041666666	1094.21
46.685819777777773	-114.03936172222222	1094.07
46.685955861111111	-114.03942322222223	1093.897
46.686154055555555	-114.03950947222222	1093.581
46.686324722222217	-114.03958369444445	1093.14
46.686689361111107	-114.0397446111111	1091.9
46.686509777777772	-114.03966555555556	1092.391
46.68688175	-114.03982697222222	1091.607
46.687063249999994	-114.03986238888889	1091.75
46.687271749999994	-114.03986497222222	1092.363
46.68745625	-114.03986502777778	1092.934
46.687643111111107	-114.03986491666666	1093.933
46.68784475	-114.03986233333333	1094.826